track_name,artist_name
Lavinia,The Veils
Amazing,Johnette Napolitano
Origin Of Love,John Cameron Mitchell
Unchained Melody,Willie Nelson
I Wonder Where You Are,Lustral
The Good And The Bad,Hardkandy
Smoke Rings,Lunabee & Swan
Wild And Lonely,The Associates
To Build A Home,The Cinematic Orchestra
My Last Minute,Strangezero
Dali Thought,Echostream
Space Weaver,Lisa Gerrard
Familiar Ground,The Cinematic Orchestra
Child Song,The Cinematic Orchestra
Music Box,The Cinematic Orchestra
Prelude,The Cinematic Orchestra
As The Stars Fall,The Cinematic Orchestra
Into You,The Cinematic Orchestra
Ma Fleur,The Cinematic Orchestra
Breathe,The Cinematic Orchestra
That Home,The Cinematic Orchestra
Time And Space,The Cinematic Orchestra
Castle-Time,Chris Garneau
Relief,Chris Garneau
Black & Blue,Chris Garneau
Saturday,Chris Garneau
So Far,Chris Garneau
First Place!!!,Chris Garneau
Hymn,Chris Garneau
Baby'S Romance,Chris Garneau
Not Nice,Chris Garneau
Blue Suede Shoes,Chris Garneau
We Don'T Try,Chris Garneau
Sad News,Chris Garneau
Halloween,Chris Garneau
Walking On Thin Ice,Yoko Ono
Walking On Thin Ice (Pet Shop Boys Electro Mix),Yoko Ono
Bouncing Off Clouds,Tori Amos
Ordinary Day,Dolores O'Riordan
Signal Fire,Snow Patrol
Maps,Yeah Yeah Yeahs
Eyes Wide Open,Travis
Your Love Alone Is Not Enough,Manic Street Preachers
Fluorescent Adolescent,Arctic Monkeys
"Call Me, Call Me",Matisse
Tell Me Where It Hurts,Garbage
Smokers Outside The Hospital Doors,Editors
The Heinrich Maneuver,Interpol
Icky Thump (Album),The White Stripes
Map Of The Problematique,Muse
Burn My Shadow (Feat. Ian Astbury),Unkle
My Violent Heart,Nine Inch Nails
Era Vulgaris,Queens Of The Stone Age
Tarantula,The Smashing Pumpkins
The Kill,30 Seconds To Mars
When Doves Fly,Mikael Delta
Beautiful Life,Mikael Delta
Desert Farm,Mikael Delta
Dancing With An Angel,Mikael Delta
11. Λιγοτερο Απ' Αυτο (Ερμηνεύει Η Νατάσσα Καρβούνη),Στέρεο Νόβα
Σαμπουαν,Στέρεο Νόβα
Ενασ Μεγαλοσ Κοσμοσ,Στέρεο Νόβα
Μικρο Αγορι,Στέρεο Νόβα
Μοτοκουζι,Στέρεο Νόβα
05 Οναρ,Στέρεο Νόβα
"Με Θελεισ, Χωρισ Εσενα",Στέρεο Νόβα
07. Κυκλοτρον - (Ορχηστρικό),Στέρεο Νόβα
Το Μαθημα,Στέρεο Νόβα
09. Ασυρματοσ Κοσμοσ - (Ορχηστρικό),Στέρεο Νόβα
10. Δεν Αλλαζω Τα Ηχεια Μου - (Ορχηστρικό),Στέρεο Νόβα
12. Βολτα Με Την Πιουζυ - (Ορχηστρικό),Στέρεο Νόβα
Ματινα,Στέρεο Νόβα
Τιβι-Ο,Στέρεο Νόβα
03. Ατλασ,Στέρεο Νόβα
04. Οδυσσεια - (Ορχηστρικό),Στέρεο Νόβα
3000 Μερεσ,Στέρεο Νόβα
"07. Να Με Θυμασαι (Του Στ.Ξαρχάκου, Διασκευή Στέρεο Νόβα) (Συμμετέχει Η…",Στέρεο Νόβα
Το Ταξιδι Τησ Φαλαινασ,Στέρεο Νόβα
10. Ταξιδι Στη Γη (Συμμετέχει Η Πόπη Αστεριάδη),Στέρεο Νόβα
The State I Am In,Belle And Sebastian
Like Dylan In The Movies,Belle And Sebastian
Judy And The Dream Of Horses,Belle And Sebastian
The Stars Of Track And Field,Belle And Sebastian
I Could Be Dreaming,Belle And Sebastian
Seymour Stein,Belle And Sebastian
Lazy Jane,Belle And Sebastian
Sleep The Clock Around,Belle And Sebastian
Slow Graffiti,Belle And Sebastian
Wrong Love,Belle And Sebastian
Shoot The Sexual Athlete,Belle And Sebastian
The Magic Of A Kind Word,Belle And Sebastian
Nothing In The Silence,Belle And Sebastian
(My Girl'S Got) Miraculous Technique,Belle And Sebastian
Here Comes The Sun,Belle And Sebastian
There'S Too Much Love,Belle And Sebastian
Me And The Major,Belle And Sebastian
Wandering Alone,Belle And Sebastian
The Model,Belle And Sebastian
I'M Waiting For The Man,Belle And Sebastian
The Boy With The Arab Strap,Belle And Sebastian
The Wrong Girl,Belle And Sebastian
Dirty Dream #2,Belle And Sebastian
Legal Man,Belle And Sebastian
Kiss Me,Polly Scattergood
Number 24,Polly Scattergood
All Is Full Of Love,Björk
Army Of Me,Björk
Bachelorette,Björk
Big Time Sensuality,Björk
Hidden Place,Björk
Human Behaviour,Björk
Hunter,Björk
Hyperballad,Björk
Isobel,Björk
It'S In Our Hands,Björk
Jóga,Björk
Pagan Poetry,Björk
Play Dead,Björk
Possibly Maybe,Björk
Venus As A Boy,Björk
You'Re Beautiful (Edit),James Blunt
Billy (Live),James Blunt
Fall At Your Feet (Acoustic),James Blunt
Tears And Rain,James Blunt
No Bravery (Live),James Blunt
Where Is My Mind (Live),James Blunt
Goodbye My Lover (Video Mix),James Blunt
"So Long, Jimmy",James Blunt
Sugar Coated,James Blunt
One Of The Brightest Stars,James Blunt
I'Ll Take Everything,James Blunt
Same Mistake,James Blunt
Carry You Home,James Blunt
Give Me Some Love,James Blunt
I Really Want You,James Blunt
Shine On,James Blunt
Annie,James Blunt
I Can'T Hear The Music,James Blunt
1973,James Blunt
Aneparkeia,Κωνσταντίνος Βήτα
X Ouf,Κωνσταντίνος Βήτα
Olo Ayto Pou Pote,Κωνσταντίνος Βήτα
H Nyxta,Κωνσταντίνος Βήτα
Mellonon,Κωνσταντίνος Βήτα
Skantzoxoiros,Κωνσταντίνος Βήτα
Pote Pote Pote Den Tha Ginw Filos Sou,Κωνσταντίνος Βήτα
59'',Κωνσταντίνος Βήτα
Zompi,Κωνσταντίνος Βήτα
Symmetria,Κωνσταντίνος Βήτα
Fk3,Κωνσταντίνος Βήτα
Sfaira,Κωνσταντίνος Βήτα
O Voskos,Κωνσταντίνος Βήτα
Untitled,Κωνσταντίνος Βήτα
13 Días,Manu Chao
Tristeza Maleza,Manu Chao
Politik Kills,Manu Chao
Rainin In Paradize (Andrew Scheps Mix),Manu Chao
Besoin De La Lune,Manu Chao
El Kitapena,Manu Chao
Me Llaman Calle,Manu Chao
A Cosa,Manu Chao
The Bleedin Clown (Scheps Version),Manu Chao
Mundorévès,Manu Chao
El Hoyo,Manu Chao
La Vida Tómbola,Manu Chao
Mala Fama,Manu Chao
Panik Panik,Manu Chao
Otro Mundo,Manu Chao
Piccola Radiolina,Manu Chao
Y Ahora Que - Bonus Track,Manu Chao
Mama Cuchara - Bonus Track,Manu Chao
Siberia - Bonus Track,Manu Chao
First Of The Gang To Die,Morrissey
In The Future When All'S Well,Morrissey
I Just Want To See The Boy Happy,Morrissey
"Irish Blood, English Heart",Morrissey
You Have Killed Me,Morrissey
That'S How People Grow Up,Morrissey
Everyday Is Like Sunday,Morrissey
Redondo Beach,Morrissey
Suedehead,Morrissey
The Youngest Was The Most Loved,Morrissey
The Last Of The Famous International Playboys,Morrissey
"The More You Ignore Me, The Closer I Get",Morrissey
All You Need Is Me,Morrissey
A Night Like This,Tom Baxter
Skybound,Tom Baxter
Better,Tom Baxter
Tell Her Today,Tom Baxter
Miracle,Tom Baxter
The Last Shot,Tom Baxter
Tragic,Tom Baxter
Half A Man,Tom Baxter
Icarus Wings,Tom Baxter
Light Me Up,Tom Baxter
You Don'T Know,Milow
Shadows,Jamie Scott & The Town
Let Me Out,Ben'S Brother
Everybody Move It,Teddy Thompson
No Cover Up,Duke Special
Lady Of The Sea,Seth Lakeman
Falling In Love At A Coffee Shop,Landon Pigg
Soldier,Shawn Hlookoff
"Bad Bad You, Bad Bad Me",Stephen Fretwell
Watching Xanadu,Mull Historical Society
Tonight,The Apprentice
Ache (Demo Version),James Carrington
Motel Room,Christopher Dallman
Love,Matt White
Christmas,Rogue Wave
I'M Alright Now,David Ford
Freedom,Nizlopi
High Like Atmosphere,Josh Aran
We Cry,The Script
Full Fat,Newton Faulkner
Apple Tree,Declan De Barra
Holding Me Down,Curtis Peoples
You Give Me Something,James Morrison
Rise To The Occasion,Kurt Nilsen
Rise,Ben'S Brother
My Love For You Is Insane,Maximilian Hecker
A Step Behind,Teddy Thompson
Heartbreaker,Matt Wertz
Lights Out,Remi Nicole
Play,Stephen Fretwell
Cherry Red Girl,Seth Lakeman
Before I Speak,Kyle Riabko
Teardrop,Newton Faulkner
Anywhere,Keaton Simons
Last Night I Nearly Died,Duke Special
Can'T Go Back,David Ford
Hero,Scott Phillips
I Adore You,Melpo Mene
Pink High Heels,Melanie Horsnell
The Ocean,The Authors
Starting Now,Ingrid Michaelson
That'S Enough Out Of You,Teddy Thompson
Back Where I Started,Curtis Peoples
Dates From Hell,Remi Nicole
Song Of A Thousand Birds,Declan De Barra
Free Loop,Daniel Powter
Ayo Technology,Milow
Feather In A Storm,Seth Lakeman
Please,Pete Murray
Long Distance,Nizlopi
Amazing,Josh Kelley
New Shoes,Paolo Nutini
The Road'S Not Long,Piers Faccini
Heartbreak World,Matt Nathanson
"Yeah, The End",Yoav
Hold On Be Strong,Maria Haukaas Storeng
Serious,Duffy
Steaming,Sarah Mclachlan
Nobody Loves You (The Way I Do),Honeyroot
Sandriam,Perry Blake
New Born,Muse
Holding On,Beverley Craven
"Vedrai, Vedrai",Luigi Tenco
Memories,Zbigniew Preisner
Make A Wish,Conjure One
"Le Défi (Bof ""Le Défi"")",Olivia Ruiz
Don'T Believe In Love,Dido
Crazy,Tori Amos
Happy Ending,Mika
She Doesn'T Live Here Anymore,Jay-Jay Johanson
Enchantment,Corinne Bailey Rae
And I Love Him,Shirley Horn
Already There,Chicane
Clowns,Goldfrapp
The Winner Takes It All,Abba
Thriller,Michael Jackson
The Power Of Love,Frankie Goes To Hollywood
Butterfly Caught,Massive Attack
Please Don'T Fall In Love,Cliff Richard
Lullaby,The Cure
My Declaration,Tom Baxter
This Boy,Tom Baxter
Under The Thumb,Tom Baxter
Girl From The Hills,Tom Baxter
The Moon & Me,Tom Baxter
Day In Verona,Tom Baxter
All Comes True,Tom Baxter
Almost There,Tom Baxter
Don'T Let Go,Tom Baxter
Scorpio Boy,Tom Baxter
When You Say You Love Me,Josh Groban
Magnet,Nikko Patrelakis
Back To Black,Amy Winehouse
Everybody'S Changing,Keane
Let Me Kiss You,Morrissey
Εμιγκρέδες Της Ρουμανίας,Λένα Πλάτωνος
Angel And The Animal,Yoav
Arco Iris,Nikko Patrelakis
Rehab,Amy Winehouse
You Know I'M No Good,Amy Winehouse
After All,Pet Shop Boys
To Triantafyllo,Μάνος Χατζιδάκις
Thank You,Dido
Numbers,Erik Faber
Gia Tin Eleni,Μάνος Χατζιδάκις
Mia Nyxta Me To Gazi,Μάνος Χατζιδάκις
18 About Media And Critics,Madonna
Faust Arp,Radiohead
Sway,Julie London
We'Re The Pet Shop Boys,Pet Shop Boys
He Can Only Hold Her,Amy Winehouse
Kyr-Andonis,Μάνος Χατζιδάκις
Cemetry Gates,The Smiths
Cripple And The Starfish,Antony And The Johnsons
Βραδινή Επιστροφή,Μάνος Χατζιδάκις
Is This Love,Thomas Anders
Mysteries Of Love,Antony And The Johnsons
11 Sooner Or Later (Live At The 1991 Academy Awards),Madonna
Trigger Hippie (Newcheeba Mix),Morcheeba
Lies,Pet Shop Boys
City Lights,Nikko Patrelakis
Divine,Antony And The Johnsons
Lost,Michael Bublé
Demi Lune,René Aubry
Must Be Dreaming,Frou Frou
Run,Air
I Wear Your Ring,Cocteau Twins
Energy Warning,Boards Of Canada
Merry-Go-Down,The Folk Implosion
Five Combs,Fridge
Mesmerise,Chapterhouse
Place To Be,Nick Drake
Close The Door,Kilowatts
A Sorta Fairytale (Demo),Tori Amos
Hairy Trees,Goldfrapp
Sleep/Swim,Mϊm
Dizzy Blonde,Xploding Plastix
The Dreaming Moon,The Magnetic Fields
Bi-Pet,Lali Puna
For The Damaged,Blonde Redhead
When The Sun Hits,Slowdive
Winter,Tori Amos
Daydream,Essell
Sand In My Shoes,Dido
Βροχή,Μάνος Χατζιδάκις
Mary'S In India,Dido
03 - H Mavri Ford,Μάνος Χατζιδάκις
Dancing With Myself,Nouvelle Vague
Love Itself,Erik Faber
To Palio Spiti,Μάνος Χατζιδάκις
Love Today,Mika
The Ghost Of Myself,Pet Shop Boys
Orpheus,New York Rock & Roll Ensemble
Spiralling,Antony And The Johnsons
10 - Efyge To Treno,Μάνος Χατζιδάκις
Bigmouth Strikes Again,The Smiths
Stuck In The Middle,Mika
Sparks,Coldplay
Beautiful Lie,Yoav
Street Song,New York Rock & Roll Ensemble
Amalucada Vida - Bonus Track,Manu Chao
Wonderful Tonight (Feat. Ivan Lins),Michael Bublé
Never Had No One Ever,The Smiths
Pulse,Alison Goldfrapp & Will Gregory
Some Girls Are Bigger Than Others,The Smiths
Don'T Stop (Sad Songs),Erik Faber
He Can Only Hold Her (P-Nut Demo),Amy Winehouse
Agaph Pou Egines Dikopo Maxairi,Μάνος Χατζιδάκις
Searching For The Face Of Jesus,Pet Shop Boys
Cologne Cerrone Houdini,Goldfrapp
Jigsaw Falling Into Place,Radiohead
03 - Oneiro Gia Tentimpoydes,Μάνος Χατζιδάκις
11 - To Party,Μάνος Χατζιδάκις
The Calm Before The Storm,Pet Shop Boys
Kyra,Μάνος Χατζιδάκις
People,Nikko Patrelakis
Mariposa,Pedro Luis Ferrer
Yellow,Coldplay
Meres Tou 1903,Μάνος Χατζιδάκις
A Little,Erik Faber
13. Encore Break,Mika
Monster Love,Goldfrapp
Μια Άσκηση Φυσικής Άλυτη,Λένα Πλάτωνος
I Have Forgiven Jesus,Morrissey
Shiver,Coldplay
Γκάλοπ,Λένα Πλάτωνος
In Mcdonalds,Burial
Mi Vazis To Hloctrofono,Μάνος Χατζιδάκις
Salento,René Aubry
The Sea (Studio),Morcheeba
Lollipop,Mika
Sweet Sangria,Tori Amos
Emotions Of Paradise,Miro
What Silence Said,Susheela Raman
Refugee,Oi Va Voi
Glory Box,Portishead
Mother'S Journey,Yann Tiersen
Against All Odds,Phil Collins
La Mia Geisha,Luigi Tenco
Left Behind,Aqualung
Endorphin,Burial
Warwick Avenue,Duffy
Tonight Is Forever,Liza Minnelli
Dreamers,Jack Savoretti
No One'S Awake,Jack Savoretti
Dr. Frankenstein,Jack Savoretti
Womanizer,Britney Spears
Circus,Britney Spears
Out From Under,Britney Spears
Kill The Lights,Britney Spears
Shattered Glass,Britney Spears
Be Good Or Be Gone,Fionn Regan
The Underwood Typewriter,Fionn Regan
Hunters Map,Fionn Regan
Hey Rabbit,Fionn Regan
Once Upon A Street,Jack Savoretti
Without,Jack Savoretti
Blackrain,Jack Savoretti
Apologies,Jack Savoretti
Between The Minds,Jack Savoretti
Soldier'S Eyes,Jack Savoretti
Lovely Fool,Jack Savoretti
Chemical Courage,Jack Savoretti
Killing Man,Jack Savoretti
Your Song,Kate Walsh
Don'T Break My Heart,Kate Walsh
Princess On The Porch,Josh Rouse
Lovers Lie Abed,Angelo Badalamenti
Lovers Lie,Angelo Badalamenti
Overture; Blue Tahitian Moon,Angelo Badalamenti
Underground Shelter,Angelo Badalamenti
Hang Out The Stars In Indiana,Angelo Badalamenti
After The Bombing; Hang Out The Stars In Indiana,Angelo Badalamenti
A Stranger Has Come,Angelo Badalamenti
Fire To The Stars,Angelo Badalamenti
Careless Talk,Angelo Badalamenti
Careless Love,Angelo Badalamenti
Love Me,Angelo Badalamenti
Drifting And Dreaming,Angelo Badalamenti
Home Movies,Angelo Badalamenti
Under Fire,Angelo Badalamenti
Maybe It'S Because I Love You Too Much,Angelo Badalamenti
Love Me,Nicolas Cage
Love Letters (& Ketty Lester),Angelo Badalamenti
Daydreamer,Adele
Best For Last,Adele
Cold Shoulder,Adele
Crazy For You,Adele
Melt My Heart To Stone,Adele
First Love,Adele
Right As Rain,Adele
Make You Feel My Love,Adele
My Same,Adele
Tired,Adele
Hometown Glory,Adele
Endless Song,Aaron
U-Turn (Lili),Aaron
O-Song,Aaron
Mister K,Aaron
Blow,Aaron
Beautiful Scar,Aaron
Strange Fruit,Aaron
Angel Dust,Aaron
War Flag,Aaron
Lost Highway,Aaron
Le Tunnel D'Or,Aaron
Little Love,Aaron
Last Night Thoughts,Aaron
So Sorry,Feist
I Feel It All,Feist
My Moon My Man,Feist
The Park,Feist
The Water,Feist
Sealion,Feist
Past In Present,Feist
The Limit To Your Love,Feist
1234,Feist
Brandy Alexander,Feist
Intuition,Feist
Honey Honey,Feist
How My Heart Behaves,Feist
I Feel It All (Escort Remix),Feist
Sealion (Chromeo Remix),Feist
My Moon My Man (Boys Noize Classic Mix),Feist
1234 (Van She Remix),Feist
Fightin' Away The Tears (With Mocky),Feist
So Sorry (One Mic Mix),Feist
My Moon My Man (Grizzly Bear Remix),Feist
Lover'S Spit (Redux),Broken Social Scene
Islands In The Stream (With Constantines),Feist
Love At First Sight,David Porteous
Because Of You,Kelly Clarkson
Just Hold Me,Maria Mena
Nothing,Nitin Sawhney
Lonely No More,Rob Thomas
Telephone,Shelby Lynne
I Want You,Elvis Costello
Make It Easy On Yourself,Mighty Walker Brothers
I Don'T Know What I Can Save You From (Röyksopp Remix),Kings Of Convenience
Killing Moon,Nouvelle Vague
Ever Fallen In Love,Nouvelle Vague
Dance With Me,Nouvelle Vague
Don'T Go,Nouvelle Vague
Heart Of Glass,Nouvelle Vague
O Pamela,Nouvelle Vague
Blue Monday,Nouvelle Vague
Human Fly,Nouvelle Vague
Bela Lugosi'S Dead,Nouvelle Vague
Escape Myself,Nouvelle Vague
Let Me Go,Nouvelle Vague
Fade To Grey,Nouvelle Vague
Waves,Nouvelle Vague
"Relax, Take It Easy",Mika
Big Girl (You Are Beautiful),Mika
My Interpretation,Mika
Billy Brown,Mika
Over My Shoulder,Mika
06. Everybody'S Talking (Harry Nillson Cover),Mika
09. Hey Babe,Mika
Holy Johnny,Mika
Grace Kelly,Mika
14. Animal Dance,Mika
One By One,Yoav
Adore Adore,Yoav
Club Thing,Yoav
Live,Yoav
There Is Nobody,Yoav
Wake Up,Yoav
Sometimes...,Yoav
Where Is My Mind,Yoav
Letters (Chris Nemmo'S Postman Mix),Abbie Gale
Crash Premonition,Vector Lovers
Metalhead,Miss Kittin
I Feel Good,Metaform
Down At Mcdonnelzzz,Electric Six
Gone,Transistor
Hooligan,The Heart Throbs
Into The Void,Nord & Graig Walker
The Story Of The Eye,Mark Gardener
Swing Your Heartache,Young Galaxy
Wilderness,Leonard Morgan
This Big Hush,Division Kent
My Autumn'S Done Come,Lee Hazlewood
Interlude (Instrumental),Morrissey & Siouxsie
Going To A Town,Rufus Wainwright
Chariot,Gavin Degraw
September Baby,Joseph Arthur
I'Ve Got A Life,Eurythmics
Clubbed To Death (Hybrid Remix),Rob Dougan
Goodbye Heartbreak (R&B Mix),Lighthouse Family
Trouble,Coldplay
Feel Of Flight,Senn
Monkey Man,Amy Winehouse
Eternal Flame,Bangles
Years,Conjure One
In Our Nature,José González
Secret Heart,Feist
Theme From Harry'S Game,Clannad
Love,Sophie Zelmani
Where The Wild Roses Grow,Nick Cave & The Bad Seeds
The Richest Man In Babylon,Thievery Corporation
Smell Of Desire,Enigma
Bird On A Wire,Perla Batalla
Look No Further,Dido
I Go To Sleep,The Pretenders
Ain'T No Love,David Gray
The Power Of Love,Jennifer Rush
Goin' Back,Dusty Springfield
When Your Mind'S Made Up,The Frames
Wake By Your Day,Erik Faber
So Beautiful,Pete Murray
After I Made Love To You,Bonnie 'Prince' Billy
Ghost Hardware,Burial
L'Assenza,Fiorella Mannoia
Childhood,Craig Armstrong
The Color Of The Night,Lauren Christy
The Whole Of The Moon,The Waterboys
Only For You,Jay-Jay Johanson
"The Queen Is Dead, Take Me Back To Dear Old Blighty (Medley)",The Smiths
"Frankly, Mr. Shankly",The Smiths
I Know It'S Over,The Smiths
The Boy With The Thorn In His Side,The Smiths
Vicar In A Tutu,The Smiths
There Is A Light That Never Goes Out,The Smiths
Thank You(Live) (Bonus Track),Dido
Valerie,Amy Winehouse
Happiness,Goldfrapp
Casanova In Hell (Fea.T Rufus Wainright),Pet Shop Boys
You Are My Sister (Radio Edit),Antony And The Johnsons
Not Over,Erik Faber
Don'T Panic,Coldplay
Revenge Of The Number,Portishead
West End Girls,Pet Shop Boys
A&E,Goldfrapp
Fuck Me Pumps,Amy Winehouse
Reckoner,Radiohead
Lovely Head,Goldfrapp
The Sodom And Gomorrah Show,Pet Shop Boys
Songs That Live Forever,Thomas Anders
See You When You'Re 40,Dido
Deeper Than Love,Antony And The Johnsons
Numb,Pet Shop Boys
Caravan Girl,Goldfrapp
Fistful Of Love,Antony And The Johnsons
River Of Sorrow,Antony And The Johnsons
Sexy Northerner,Pet Shop Boys
Indefinite Leave To Remain,Pet Shop Boys
Elephant Woman,Blonde Redhead
15 Step,Radiohead
Man Is The Baby,Antony And The Johnsons
Theme From To Kill A Dead Man,Portishead
Rent,Pet Shop Boys
Always,Pet Shop Boys
It'S Alright (Ft Sally Bradshaw),Pet Shop Boys
It'S A Sin,Pet Shop Boys
House Of Cards,Radiohead
Lollipop (Album Version),Monsieur Minimal
Smile,Monsieur Minimal
Beautiful,Monsieur Minimal
Soul,Monsieur Minimal
Missing You,Monsieur Minimal
Love Story,Monsieur Minimal
Lovers,Monsieur Minimal
Soul (The Flying Silly Brothers Remix),Monsieur Minimal
Smile,Josh Groban
Oceano,Josh Groban
February Song,Josh Groban
You Are Loved (Don'T Give Up),Josh Groban
You Raise Me Up,Josh Groban
In Her Eyes,Josh Groban
Awake,Josh Groban
Alla Luce Del Sole,Josh Groban
To Where You Are,Josh Groban
Anthem (Live),Josh Groban
Per Te,Josh Groban
Remember When It Rained,Josh Groban
Machine (Live),Josh Groban
Alejate,Josh Groban
Hymne A L'Amour,Josh Groban
Cinema Paradiso (Se),Josh Groban
Silent Night,Josh Groban
Little Drummer Boy (Feat. Andy Mckee),Josh Groban
Ave Maria,Josh Groban
Panis Angelicus,Josh Groban
Petit Papa Noël,Josh Groban
I Never Felt Like This Before,Mica Paris
El Que Siembra Su Maiz,Trío Matamoros
Blue Angel,Antony And The Johnsons
Hope There'S Someone,Antony And The Johnsons
Sour Sour Times,Portishead
Nightlife,Pet Shop Boys
Have I Told You Lately,Thomas Anders
It'S Over [Roy Orbison] 2Nd Mastering - Final,My Brightest Diamond
A Change Is Gonna Come,Ben Sollee
Then He Kissed Me,Dirty Summer
I’Ve Been Loving You Too Long (To Stop Now) (Otis Redding),Cat Power
People Get Ready,Seal
Why Don'T They Let Us Fall In Love,The Morning Benders
My Girl,Syd Matters
God Only Knows 64,Dj Format
Crying (Roy Orbison Cover),The Morning Benders
Cupid,Amy Winehouse
Without You,Susanna
Walk On The Wild Side,Jesse Malin
Nobody Does It Better,Ivana F.
Maggie May,Mathilde Santing
The One That I Want,What Would Jesus Drive
Oh! You Pretty Things,Au Revoir Simone
Sunday Bloody Sunday,Saul Williams
To Cut A Long Story Short,Cazals
This Boy'S In Love,The Presets
Ghost Town (The Specials),The Prodigy
Danger Zone (Kenny Loggins Cover),Homesick Elephant
Love Is A Stranger,Martha Wainwright
Temptation (Radio Edit),Jeremy Warmsley
Ghosts,Mathilde Santing
Drives Me Crazy,Dolly Parton
I Ran,Love Is All
Message In A Bottle (Radio 2 Session),Robyn
Girls Just Want To Have Fun,Russian Red
Head Over Heels,Samamidon
Under Pressure (Feat. Michael Gira),Xiu Xiu
Love Vigilantes,Laura Cantrell
Pretty In Pink,The Dresden Dolls
Push It,The Rosebuds
Oh Christmas Tree,Christmas
Linus And Lucy,Vince Guaraldi Trio
Dee,Sean Kelly
My Special Angel,Bobby Helms
Peace On Earth/Little Drummer Boy,Bing Crosby & David Bowie
Wonderful Dream (Holidays Are Coming) (Radio Version),Melanie Thornton
Lucky Man,Greg Lake
Grandma Got Run Over By A Reindeer,Elmo & Patsy
White Christmas,Bing Crosby
It'S Not For Me To Say,Johnny Mathis
Son Peshrev,Whirling Dervishes
"Wassail, Wassail",Mannheim Steamroller
I Wish It Could Be Christmas Everyday,Wizzard
Sugarshock Lullaby,Sean Kelly
Away In A Manger,Christmas
Blue Charlie Brown,Vince Guaraldi Trio
Chances Are,Johnny Mathis
The Holly And The Ivy,Mannheim Steamroller
Jingle Bell Rock,Bobby Helms
Silver Bells,Bing Crosby
Closer To Believing,Greg Lake
Sweet Leilani,Bing Crosby
Lo How A Rose E'Er Blooming,Christmas
Lady Laiton'S Almain,Sean Kelly
Misty,Johnny Mathis
Samba De Orpheus,Vince Guaraldi Trio
Bishnev Ez Ney,Whirling Dervishes
I Wish It Could Be Christmas Every Day,Wizzard
Memories,Melanie Thornton
I Believe In Father Christmas,Greg Lake
Classical Gas,Mannheim Steamroller
Yali Tanbur,Whirling Dervishes
See My Baby Jive,Wizzard
What Child Is This,Vince Guaraldi Trio
Guitar Chorus,Sean Kelly
Emmanuel (Acoustic Guitar Fingerstyle),Christmas
Faith Of Our Fathers,Bing Crosby
Carol Of The Bells,Mannheim Steamroller
Le Quartier,Yann Tiersen
Miracle Of Love,Eurythmics
Addio,Gianna Nannini
You Are My Miracle,Vittorio Grigolo
Here With Me (Radio Edit),Dido
The Heart Asks Pleasure First,Michael Nyman
Bonny (Prefab Sprout),Tom Smith
Johnny Come Home,Jeppe
I Still Haven'T Found What I'M Looking For,Cheikh N'Digel Lô
Don'T Come Around Here No More,Susanna
Falling Down,Scarlett Johansson
The Final Countdown,Pockets & The Kazookeylele
Can'T Be Sure (The Sundays Cover),James Figurine
In The Air Tonight (Phil Collins Cover),Takka Takka
